Fecha,Balota 1,Balota 2,Balota 3,Balota 4,Balota 5,SuperBalota
3/12/2022,5,11,12,13,34,3
7/12/2022,5,17,21,24,28,10
10/12/2022,4,7,21,22,36,10
14/12/2022,14,18,24,36,42,2
17/12/2022,21,26,34,37,42,16
21/12/2022,31,33,37,40,41,16
24/12/2022,16,26,27,36,42,11
28/12/2022,1,4,9,23,24,13
31/12/2022,14,25,32,33,39,12
4/1/2023,1,12,14,32,33,8
7/1/2023,11,17,33,34,40,9
11/1/2023,17,21,22,27,29,9
14/1/2023,4,8,21,36,43,8
18/1/2023,8,9,33,35,42,13
21/1/2023,6,11,13,16,42,12
25/1/2023,17,20,26,33,38,1
28/1/2023,8,18,27,40,42,8
1/2/2023,8,12,23,37,38,16
4/2/2023,5,6,18,26,42,9
8/2/2023,9,21,23,28,38,12
11/2/2023,7,20,25,26,30,11
15/2/2023,1,19,35,36,39,8
18/2/2023,5,7,10,13,31,14
22/2/2023,10,16,26,32,35,14
25/2/2023,20,26,39,37,38,12
1/3/2023,1,12,38,39,41,16
4/3/2023,1,5,11,28,31,15
8/3/2023,23,30,36,37,40,11
11/3/2023,3,7,24,33,40,14
15/3/2023,3,7,16,33,34,3
18/3/2023,1,5,9,19,31,13
22/3/2023,2,20,23,27,37,8
25/3/2023,7,8,16,19,30,5
29/3/2023,14,16,24,29,30,3
1/4/2023,20,24,27,33,40,12
5/4/2023,4,5,18,22,29,2
8/4/2023,10,27,32,40,42,14
12/4/2023,4,17,19,23,32,9
15/4/2023,5,26,33,37,43,4
19/4/2023,3,13,21,37,43,13
22/4/2023,3,12,15,28,40,1
26/4/2023,2,16,25,35,39,11
29/4/2023,3,14,39,34,39,12
3/5/2023,1,3,24,30,38,10
6/5/2023,4,10,17,23,32,2
10/5/2023,5,18,31,33,35,10
13/5/2023,18,30,33,34,37,8
17/5/2023,1,3,11,26,36,2
20/5/2023,3,7,20,25,33,1
24/5/2023,5,13,16,32,35,4
27/5/2023,5,8,9,24,41,7
31/5/2023,3,6,13,16,25,4
3/6/2023,4,8,12,20,30,16
7/6/2023,11,29,36,39,43,13
10/6/2023,12,26,36,40,42,12
14/6/2023,26,28,31,34,41,14
17/6/2023,2,3,13,20,30,3
21/6/2023,5,7,12,29,37,9
24/6/2023,4,19,23,30,42,1
28/6/2023,5,10,25,27,43,12
1/7/2023,4,12,19,34,38,13
5/7/2023,15,18,21,31,41,12
8/7/2023,16,17,28,30,38,6
12/7/2023,27,36,39,42,43,11
15/7/2023,15,16,25,36,41,2
19/7/2023,3,21,23,32,33,9
22/7/2023,2,4,24,31,40,15
26/7/2023,6,20,27,29,43,9
29/7/2023,14,20,25,29,30,9
2/8/2023,19,24,26,36,37,5
5/8/2023,6,18,27,40,42,7
9/8/2023,2,16,20,31,33,4
12/8/2023,13,18,26,37,39,1
16/8/2023,13,17,27,28,42,3
19/8/2023,2,3,4,5,20,3
23/8/2023,8,10,16,19,37,12
26/8/2023,1,10,14,17,34,7
30/8/2023,6,15,16,18,37,9
2/9/2023,14,16,21,27,29,5
6/9/2023,17,27,38,41,43,5
9/9/2023,16,31,33,36,38,5
13/9/2023,3,21,34,36,39,15
16/9/2023,8,33,39,41,42,1
20/9/2023,8,9,30,37,40,10
23/9/2023,3,13,20,30,35,14
27/9/2023,13,14,23,25,40,11
30/9/2023,4,8,10,15,18,8
4/10/2023,2,3,21,27,40,9
7/10/2023,10,14,26,32,39,11
11/10/2023,2,7,13,25,29,10
14/10/2023,3,6,28,35,36,5
18/10/2023,2,5,14,30,31,14
21/10/2023,6,10,18,35,37,13
25/10/2023,7,10,12,27,37,15
28/10/2023,5,8,17,27,31,16
1/11/2023,11,14,32,34,36,8
4/11/2023,1,4,16,26,27,14
8/11/2023,17,18,28,34,42,12
11/11/2023,5,8,15,35,39,12
15/11/2023,12,16,17,28,36,13
18/11/2023,9,14,22,38,43,14
22/11/2023,17,30,32,35,37,9
25/11/2023,14,18,26,37,42,7
29/11/2023,1,10,11,23,36,4
2/12/2023,2,27,30,34,37,14
6/12/2023,5,15,20,29,41,6
9/12/2023,2,18,26,33,36,1
13/12/2023,12,18,37,40,42,1
16/12/2023,16,19,24,27,38,8
20/12/2023,22,30,32,39,42,7
23/12/2023,5,11,12,33,41,4
27/12/2023,15,23,26,35,42,3
30/12/2023,24,28,32,35,39,16
3/1/2024,1,3,5,14,28,8
6/1/2024,2,10,12,17,25,12
10/1/2024,6,8,9,13,43,11
13/1/2024,17,21,26,29,37,4
17/1/2024,11,29,30,36,41,2
20/1/2024,8,16,20,27,37,4
24/1/2024,7,10,11,13,25,1
27/1/2024,15,24,28,29,33,13
31/1/2024,4,8,24,34,40,5
3/2/2024,5,10,16,29,36,13
7/2/2024,2,4,22,29,35,16
10/2/2024,9,14,22,24,29,1
14/2/2024,3,16,19,37,40,7
17/2/2024,2,4,14,21,28,7
21/2/2024,16,22,29,30,37,2
24/2/2024,2,5,27,28,30,4
28/2/2024,4,26,28,29,37,1
2/3/2024,2,9,18,26,43,13
6/3/2024,1,5,9,13,43,16
9/3/2024,1,14,18,21,42,12
13/3/2024,9,19,21,24,33,15
16/3/2024,19,21,28,29,39,9
20/3/2024,14,16,24,27,32,16
23/3/2024,10,14,21,32,41,8
27/3/2024,1,8,19,34,39,3
30/3/2024,15,18,23,30,34,1
3/4/2024,9,11,21,24,41,6
06/04/2024,13,17,24,41,43,10
10/04/2024,6,30,34,36,39,14
13/04/2024,4,10,11,30,37,13
17/04/2024,20,30,31,40,43,9
20/04/2024,7,9,12,37,41,7
24/04/2024,7,9,32,34,41,10
27/04/2024,1,2,15,21,23,13
01/05/2024,2,4,21,24,29,2
04/05/2024,24,29,34,35,36,14
08/05/2024,13,24,25,33,36,15
11/05/2024,12,23,35,38,42,1
15/05/2024,3,4,6,15,23,10
18/05/2024,1,10,16,27,35,13
22/05/2024,5,11,16,17,37,13
25/05/2024,7,12,27,28,37,16
29/05/2024,18,19,23,25,38,14
01/06/2024,10,26,28,29,40,15
05/06/2024,8,18,20,28,41,4
8/6/2024,7,25,28,39,41,7
12/6/2024,4,9,13,14,20,12
15/06/2024,2,13,14,30,43,3
19/06/2024,2,11,13,24,37,11
22/06/2024,4,15,16,20,34,4
26/06/2024,7,11,32,40,41,9
29/06/2024,8,19,25,28,41,2
03/07/2024,5,7,19,22,25,5
06/07/2024,8,10,16,30,35,11
10/07/2024,12,15,21,26,39,9
13/07/2024,7,15,21,29,36,8
17/07/2024,23,24,27,29,40,9
20/07/2024,6,11,26,27,40,7
24/07/2024,9,12,21,30,41,2
27/07/2024,8,12,22,25,39,11
31/07/2024,1,4,9,33,37,15
03/08/2024,8,14,23,28,32,13
07/08/2024,4,17,24,29,43,5
10/08/2024,2,4,32,39,42,3
14/08/2024,3,22,25,33,38,12
17/08/2024,1,22,27,31,40,11
21/08/2024,4,13,37,39,41,15
24/08/2024,1,13,14,15,33,1
28/08/2024,2,4,21,32,33,13
31/08/2024,2,4,20,22,32,11
04/09/2024,23,25,34,42,43,4
07/09/2024,3,5,6,36,42,1
11/09/2024,4,12,28,32,40,10
14/09/2024,11,13,16,28,42,4
18/09/2024,8,9,10,16,23,3
21/09/2024,4,27,29,37,43,4
25/09/2024,6,15,29,32,42,12
28/09/2024,7,14,19,20,27,16
02/10/2024,12,20,24,34,39,7
05/10/2024,12,13,27,32,34,6
09/10/2024,5,7,10,25,43,16
12/10/2024,4,5,9,18,34,16
16/10/2024,1,16,23,33,42,5
19/10/2024,31,32,33,39,43,14
23/10/2024,8,14,16,26,32,9
26/10/2024,18,20,21,26,32,3
30/10/2024,6,25,33,42,43,10
02/11/2024,10,24,36,40,42,11
06/11/2024,6,15,24,28,31,10
9/11/2024,7,20,24,33,40,6
13/11/2024,1,5,25,29,31,12
16/11/2024,1,23,32,36,40,13
20/11/2024,11,12,19,21,32,3
23/11/2024,7,13,15,33,34,8
27/11/2024,10,21,22,36,40,14
30/11/2024,3,12,14,19,28,9
4/12/2024,7,10,16,31,36,10
07/12/2024,5,10,15,21,22,12
11/12/2024,10,12,18,22,40,4
14/12/2024,19,25,32,34,41,9
